distance_ratio,f1,ka,lmax,full_mode_count,active_mode_count,force_0_x,force_0_y,force_1_x,force_1_y,force_rms,successive_force_error,successive_error_applicable,minimum_confirmed_lmax,physical_residual,balanced_condition,raw_condition
3.0,0.1,0.1,3,16,6,0.0023710227808715783,9.8677267150642456e-23,-0.0023710227808715779,2.9047298206910785e-19,0.0023710227808715783,0.0015436373014690377,true,5,9.6303459997961473e-17,1.0060539778488236,3.0420751240332833
3.0,0.1,0.1,5,36,15,0.0023712184900892812,1.4253383032870578e-22,-0.0023712184900892812,2.9052780277308043e-19,0.0023712184900892812,8.2535295048152978e-05,true,5,1.4188644296206719e-16,1.0062370939387433,2612065.2069214731
3.0,0.1,0.1,7,64,28,0.0023712253450265787,1.3156968953418996e-22,-0.0023712253450265787,2.9051683863228594e-19,0.0023712253450265787,2.8908839524091834e-06,true,5,1.1886737364168967e-16,1.0062465033899004,16773683890264.021
3.0,0.1,0.1,9,100,45,0.0023712255279844207,8.771312635612663e-23,-0.0023712255279844207,2.9053876691387492e-19,0.0023712255279844207,7.7157503518601182e-08,true,5,1.8821473211355417e-16,1.006246875708231,2.7454395818279594e+20
3.0,0.4,0.1,1,4,1,0.038099206108252008,0,-0.038099206108252001,4.6656366171350884e-18,0.038099206108252008,0,false,5,9.550310969403186e-17,1.0155870955907602,1.0155870955907602
3.0,0.4,0.1,3,16,6,0.03831652640125955,9.1221651410371701e-21,-0.03831652640125955,4.7003710151721136e-18,0.03831652640125955,0.0056717117499565806,true,5,1.804205323113653e-16,1.0247815991979936,24.089915584547516
3.0,0.4,0.1,5,36,15,0.038330018473875016,7.01705010849013e-21,-0.038330018473875016,4.7035286877209344e-18,0.038330018473875016,0.00035199755055328292,true,5,2.1971835451672022e-16,1.0255828466724244,42440410.076652505
3.0,0.4,0.1,7,64,28,0.038330497440135301,1.1578132679008716e-20,-0.038330497440135287,4.7031778352155093e-18,0.038330497440135294,1.2495696436665744e-05,true,5,3.3921993638395827e-16,1.025624968410187,273827114334810.94
3.0,0.4,0.1,9,100,45,0.038330510361826858,7.3679026139146372e-21,-0.038330510361826844,4.7035286877209344e-18,0.038330510361826851,3.3711243171709959e-07,true,5,3.3768234232181414e-16,1.0256266621954053,4.508477936846884e+21
3.0,0.8,0.1,1,4,1,0.15359386293599722,0,-0.15359386293599719,1.8811307930840343e-17,0.15359386293599722,0,false,5,2.1113828412850572e-16,1.0314190566867261,1.0314190566867261
3.0,0.8,0.1,3,16,6,0.1554123771862658,5.8943220911317097e-20,-0.15541237718626583,1.9103217215353531e-17,0.1554123771862658,0.011701218932447495,true,5,9.9005657843668805e-17,1.051214707011783,91.872274897708934
3.0,0.8,0.1,5,36,15,0.15553235219447625,1.0385234160565393e-19,-0.15553235219447625,1.9125671775700699e-17,0.15553235219447625,0.00077138297285200786,true,5,2.7247280746107026e-16,1.0530341540636616,173508234.5726617
3.0,0.8,0.1,7,64,28,0.15553669853516797,8.4204601301881554e-20,-0.15553669853516799,1.9125671775700699e-17,0.15553669853516799,2.794414908288917e-05,true,5,3.0831655061382907e-16,1.0531330555689409,1127233646976850.8
3.0,0.8,0.1,9,100,45,0.15553681770754477,9.2625061432069726e-20,-0.15553681770754477,1.9125671775700699e-17,0.15553681770754477,7.6620043114389093e-07,true,5,1.4349765071360041e-16,1.0531371276320365,1.8719315699161062e+22
3.0,1.0,0.1,1,4,1,0.24093665825076277,0,-0.24093665825076277,2.9506695706200998e-17,0.24093665825076277,0,false,7,2.1635061031555764e-16,1.0394286719246244,1.0394286719246244
3.0,1.0,0.1,3,16,6,0.24459774383934943,1.1578132679008714e-19,-0.24459774383934949,3.008911086520568e-17,0.24459774383934946,0.014967781513926269,true,7,1.551932088936832e-16,1.0651378758589598,143.58567806238219
3.0,1.0,0.1,5,36,15,0.24484557008958527,2.1402002830894897e-19,-0.24484557008958527,3.0145247266073596e-17,0.24484557008958527,0.001012173714824144,true,7,1.5213383126916532e-16,1.0675697345114648,274259213.7132349
3.0,1.0,0.1,7,64,28,0.24485465085043726,1.5086657733253779e-19,-0.24485465085043726,3.0148755791127842e-17,0.24485465085043726,3.7086331913433421e-05,true,7,5.3033101491190301e-17,1.0677043594929381,1788467388852862
3.0,1.0,0.1,9,100,45,0.24485490210142244,9.8238701518861817e-20,-0.24485490210142244,3.0145247266073596e-17,0.24485490210142244,1.0261219319173636e-06,true,7,3.0827829994425101e-16,1.0677099742978646,2.9837085947857537e+22
