holdout_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_d_x,model_d_y,model_d_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
20,n10_compact_f0.1_d2.1,6,2.1000000000000005,0,0,-0.017687840172781563,-0.0079837201911677671,0,-0.018565766487067724,-0.0083303280381584674,0,-0.019251553685187304,-0.0086219221264459273,0,-0.019251553685187304,-0.0086219221264459273,0,-0.018505740126325367,-0.0083042698163930985,0,-0.00074581355886193634,-0.00031765231005282936,0
20,n10_compact_f0.1_d2.1,7,-1.05,1.8186533479473213,0,0.015758024588648806,-0.011326258832123915,0,0.016497158946436861,-0.011913261399451208,0,0.017092580433546951,-0.012361373490469195,0,0.017092580433546951,-0.012361373490469195,0,0.016444578684039424,-0.011874306157034289,0,0.00064800174950752759,-0.00048706733343490462,0
20,n10_compact_f0.1_d2.1,8,1.0500000000000005,1.8186533479473213,0,-0.015758024588648813,-0.011326258832123915,0,-0.016497158946436889,-0.01191326139945121,0,-0.017092580433546969,-0.012361373490469197,0,-0.017092580433546969,-0.012361373490469197,0,-0.016444578684039441,-0.011874306157034291,0,-0.00064800174950752846,-0.00048706733343490495,0
20,n10_compact_f0.1_d2.1,9,0,3.6373066958946434,0,1.7347234759768071e-18,-0.019727151807429129,0,-6.1076404144298102e-18,-0.020462263118251684,0,4.0285875161969404e-19,-0.021016064042824651,0,4.0285875161969404e-19,-0.021016064042824651,0,3.5772349768817679e-19,-0.020396630940440117,0,4.5135253931517227e-20,-0.00061943310238453441,0
21,n10_irregular_f0.8_d10.0,0,-15.476992631711282,-11.495147305166514,0,0.0015431560183978015,0.0010058758249940146,0,0.0015455845296715751,0.0010073242012660023,0,0.0015458609200476117,0.0010075099019085756,0,0.0015458609200476117,0.0010075099019085756,0,0.0015443664713158684,0.0010065291189335771,0,1.4944487317432743e-06,9.8078297499842851e-07,0
21,n10_irregular_f0.8_d10.0,1,-4.2172757700165642,-10.983341993271299,0,0.00032571747648729179,0.001926732203638045,0,0.00032684362212827717,0.0019303740712270159,0,0.00032723308580467919,0.001932379761860635,0,0.00032723308580467919,0.001932379761860635,0,0.00032658703143112732,0.0019288596867347838,0,6.4605437355189186e-07,3.5200751258512142e-06,0
21,n10_irregular_f0.8_d10.0,2,7.5542464035733659,-12.518757928956942,0,-0.0002600010281931995,0.001332953639482357,0,-0.00026135576568945369,0.0013348163746169828,0,-0.0002615829090662118,0.0013356387075741855,0,-0.0002615829090662118,0.0013356387075741855,0,-0.00026114443281153324,0.0013337612286596842,0,-4.3847625467853984e-07,1.8774789145014001e-06,0
21,n10_irregular_f0.8_d10.0,3,18.302157953372866,-9.6526481823437411,0,-0.001560398667952831,0.00031924796950081664,0,-0.0015623838156452101,0.00031960229127716395,0,-0.0015624536465342813,0.00031965130048105454,0,-0.0015624536465342813,0.00031965130048105454,0,-0.0015611525465726167,0.00031934721502855306,0,-1.3010999616646423e-06,3.0408545250149008e-07,0
21,n10_irregular_f0.8_d10.0,4,-11.894355448444781,-0.03070831871371027,0,0.0015991487348007696,-0.00038534475447174368,0,0.0016020340244623586,-0.00038576663003580836,0,0.0016033353174969458,-0.00038603646892825644,0,0.0016033353174969458,-0.00038603646892825644,0,0.0016007695110707809,-0.00038546206071811819,0,2.5658064261649434e-06,-5.7440821013823862e-07,0
21,n10_irregular_f0.8_d10.0,5,-0.32755539961293545,-1.7708463791574403,0,-0.00052573405672680742,-0.00073788890885168057,0,-0.00052689653778974666,-0.00073937079496284148,0,-0.00052762150302691475,-0.00074037111128926088,0,-0.00052762150302691475,-0.00074037111128926088,0,-0.00052648743124948097,-0.00073880047963146732,0,-1.1340717774338152e-06,-1.5706316577935593e-06,0
21,n10_irregular_f0.8_d10.0,6,11.34160571159795,1.8117908041090613,0,-0.0012957323093911544,-0.00046649780360238002,0,-0.0012980617482043523,-0.00046703744451119473,0,-0.0012988488351631097,-0.00046728687965794108,0,-0.0012988488351631097,-0.00046728687965794108,0,-0.0012970351986898339,-0.00046666720925389262,0,-1.8136364732758489e-06,-6.1967040404846984e-07,0
