case_id,split,particle_count,family,f1,distance_ratio,rho_frozen,rho_analytic,rho_absolute_difference,rho_near_field,near_field_relative_difference,spectral_norm,infinity_norm,spectral_norm_to_rho,infinity_norm_to_rho,normalized_commutator
n6_compact_f0.8_d4.0,holdout,6,compact,0.80000000000000004,4,0.023713831500837071,0.023713831500837074,3.4694469519536142e-18,0.021785039762025626,0.081336149274037151,0.023715554066492381,0.028389109279124296,1.0000726397020763,1.1971540439646875,0.014519085802670955
n6_compact_f0.8_d6.0,holdout,6,compact,0.80000000000000004,6,0.0076624833825536549,0.0076624833825536618,6.9388939039072284e-18,0.0064548265961557362,0.15760644768869334,0.007666740633925577,0.0091524388564291174,1.0005555968162501,1.1944481181215822,0.040496849195955226
n6_compact_f0.8_d10.0,holdout,6,compact,0.80000000000000004,10,0.0020086992910548617,0.0020086992910548608,8.6736173798840355e-19,0.0013942425447696402,0.30589782603176058,0.0020178937001962475,0.0024167017715808529,1.0045772949601421,1.2031177500499495,0.11584379144541371
n6_compact_f1.0_d2.1,holdout,6,compact,1,2.1000000000000001,0.19296651735944284,0.19296651735944281,2.7755575615628914e-17,0.18818736431940924,0.024766747648408551,0.19296690068585609,0.23172626104161254,1.0000019864918459,1.2008625341461241,0.0023791483465993406
n6_compact_f1.0_d2.5,holdout,6,compact,1,2.5,0.11552778171626742,0.1155277817162674,1.3877787807814457e-17,0.11153940358157113,0.034523108428512896,0.11552840652999341,0.138650343962228,1.0000054083417576,1.2001472018457766,0.0039324094710462259
n6_compact_f1.0_d3.0,holdout,6,compact,1,3,0.067840126328331321,0.067840126328331377,5.5511151231257827e-17,0.064548265961557341,0.048523794764799684,0.067841152964507087,0.081351904447885356,1.0000151331701645,1.1991708867722317,0.0065935882165631433
n6_compact_f1.0_d4.0,holdout,6,compact,1,4,0.0296422893760463,0.029642289376046294,6.9388939039072284e-18,0.027231299702532019,0.081336149274036054,0.029644442583115473,0.035486386598905371,1.0000726397020778,1.1971540439646895,0.014519085802670952
n6_compact_f1.0_d6.0,holdout,6,compact,1,6,0.0095781042281920664,0.0095781042281920525,1.3877787807814457e-17,0.0080685332451946676,0.15760644768869142,0.0095834257924069712,0.011440548570536398,1.0005555968162525,1.1944481181215854,0.040496849195955205
n6_compact_f1.0_d10.0,holdout,6,compact,1,10,0.0025108741138185745,0.0025108741138185728,1.7347234759768071e-18,0.001742803180962049,0.30589782603176019,0.0025223671252453095,0.0030208772144760662,1.0045772949601435,1.203117750049951,0.11584379144541367
n6_irregular_f0.1_d2.1,holdout,6,irregular,0.10000000000000001,2.1000000000000001,0.014006894213832218,0.014006894213832187,3.1225022567582528e-17,0.013589866648505786,0.029773021696313993,0.014006974550839634,0.018929670323542584,1.0000057355332468,1.351453793721739,0.0037082405090208205
n6_irregular_f0.1_d2.5,holdout,6,irregular,0.10000000000000001,2.5,0.0084023111035292902,0.0084023111035292832,6.9388939039072284e-18,0.0080547683220359694,0.041362760460908539,0.0084024409718730809,0.011339175615609076,1.0000154562646155,1.3495305608056098,0.0061044195962825726
